t,ax,ay,az,gx,gy,gz
18.470014572143555,-0.0882,-0.745,0.6649,14.9642,-11.3281,-3.7405
18.470014572143555,-0.077,-0.7405,0.6821,11.6956,-9.5811,-2.9104
18.470014572143555,-0.0701,-0.7397,0.6922,8.8242,-8.2183,-2.2878
18.939085721969604,-0.064,-0.7378,0.7007,7.5807,-7.3712,-1.9958
18.939085721969604,-0.0588,-0.7363,0.7073,6.1055,-6.5259,-1.5669
18.939085721969604,-0.0548,-0.735,0.7124,5.1391,-6.0145,-1.3152
18.939085721969604,-0.0523,-0.7345,0.7157,4.4668,-5.5608,-1.0739
19.6399827003479,-0.0517,-0.7338,0.7194,4.1901,-5.0106,-1.1904
19.6399827003479,-0.0488,-0.7328,0.7209,3.7376,-4.773,-0.9803
19.6399827003479,-0.05,-0.7308,0.7184,1.7357,-4.5422,-0.5952
19.6399827003479,-0.0453,-0.7091,0.7187,7.5843,-4.2642,-1.2514
19.6399827003479,-0.0435,-0.7124,0.7236,5.8982,-4.1956,-1.0086
19.6399827003479,-0.0413,-0.7168,0.7243,7.4512,-4.8267,-0.5114
19.6399827003479,-0.0418,-0.7202,0.7238,5.9209,-4.5475,-0.4886
20.234124898910522,-0.0416,-0.7218,0.7258,5.0006,-4.4607,-0.5239
20.234124898910522,-0.0418,-0.7221,0.7276,4.398,-4.308,-0.5679
20.234124898910522,-0.0427,-0.7217,0.73,4.8385,-4.456,-0.461
20.234124898910522,-0.0417,-0.7226,0.7311,3.7689,-4.182,-0.4332
20.234124898910522,-0.0422,-0.7229,0.7314,3.5617,-4.2215,-0.4474
20.234124898910522,-0.0425,-0.723,0.732,3.0912,-4.1811,-0.4231
